ticker,year,quarter,total_word_count,neg,neu,pos,compound
PG,2022,q1,7191,0.020143577,0.801292191,0.178559194,0.304115869
BFB,2022,q1,8244,0.019299505,0.818358911,0.162341584,0.258854703
AAL,2022,q1,10300,0.019178306,0.817216939,0.163610698,0.199950223
ADP,2022,q1,9625,0.014650367,0.844880196,0.140469438,0.327667971
CRM,2022,q1,8796,0.009152482,0.858010638,0.132838652,0.254736879
NCLH,2022,q1,7588,0.024529101,0.840812169,0.134656085,0.290394974
CTLT,2022,q1,8440,0.010555932,0.817311864,0.172132203,0.370262712
ROP,2022,q1,4944,0.019893082,0.763937107,0.216169811,0.291573585
GLW,2022,q1,6679,0.01559854,0.834861314,0.149537713,0.262476399
DHI,2022,q1,7345,0.018515625,0.847132812,0.134348958,0.217758854
TPR,2022,q1,7775,0.012558442,0.819818182,0.167607792,0.346251169
HAS,2022,q1,7866,0.013190821,0.80752657,0.17928744,0.316507729
OXY,2022,q1,8495,0.024519802,0.829480198,0.145992574,0.233405446
